Time,Quality,Accuracy,Width,Height,Class_Counter,Total_Counter
2023-09-04-17.504741 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,1 ,1 
2023-09-04-17.560996 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,2 ,2 
2023-09-04-17.615006 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,3 ,3 
2023-09-04-17.669014 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,4 ,4 
2023-09-04-17.724333 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,5 ,5 
2023-09-04-17.779085 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,6 ,6 
2023-09-04-17.835859 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,7 ,7 
2023-09-04-17.890145 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,8 ,8 
2023-09-04-17.945817 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,9 ,9 
2023-09-04-18.001896 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,10 ,10 
2023-09-04-18.058162 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,11 ,11 
2023-09-04-18.113459 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,12 ,12 
2023-09-04-18.171169 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,13 ,13 
2023-09-04-18.225831 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,14 ,14 
2023-09-04-18.281317 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,15 ,15 
2023-09-04-18.336036 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,16 ,16 
2023-09-04-18.392786 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,17 ,17 
2023-09-04-18.446250 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,18 ,18 
2023-09-04-18.652156 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,19 ,19 
2023-09-04-18.707964 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,20 ,20 
2023-09-04-18.764342 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,21 ,21 
2023-09-04-18.820394 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,22 ,22 
2023-09-04-18.876105 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,23 ,23 
2023-09-04-18.932742 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,24 ,24 
2023-09-04-18.993140 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,25 ,25 
2023-09-04-19.058647 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,26 ,26 
2023-09-04-19.119868 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,27 ,27 
2023-09-04-19.175996 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,28 ,28 
2023-09-04-19.241330 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,29 ,29 
2023-09-04-19.304495 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,30 ,30 
2023-09-04-19.360620 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,31 ,31 
2023-09-04-19.415200 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,32 ,32 
2023-09-04-19.479912 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,33 ,33 
2023-09-04-19.545785 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,34 ,34 
2023-09-04-19.600240 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,35 ,35 
2023-09-04-19.655778 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,36 ,36 
2023-09-04-19.709905 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,37 ,37 
2023-09-04-19.764828 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,38 ,38 
2023-09-04-19.820713 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,39 ,39 
2023-09-04-19.876298 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,40 ,40 
2023-09-04-19.932656 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,41 ,41 
2023-09-04-19.989935 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,42 ,42 
2023-09-04-20.051019 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,43 ,43 
2023-09-04-20.109201 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,44 ,44 
2023-09-04-20.169035 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,45 ,45 
2023-09-04-20.226997 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,46 ,46 
2023-09-04-20.286590 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,47 ,47 
2023-09-04-20.345585 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,48 ,48 
