Time,Quality,Accuracy,Width,Height,Class_Counter,Total_Counter
2023-09-04-20.401527 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,49 ,49 
2023-09-04-20.457076 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,50 ,50 
2023-09-04-20.514850 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,51 ,51 
2023-09-04-20.573476 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,52 ,52 
2023-09-04-20.629242 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,53 ,53 
2023-09-04-20.683662 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,54 ,54 
2023-09-04-20.739366 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,55 ,55 
2023-09-04-20.794896 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,56 ,56 
2023-09-04-20.850809 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,57 ,57 
2023-09-04-20.906047 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,58 ,58 
2023-09-04-20.963232 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,59 ,59 
2023-09-04-21.018068 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,60 ,60 
2023-09-04-21.073778 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,61 ,61 
2023-09-04-21.130464 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,62 ,62 
2023-09-04-21.185369 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,63 ,63 
2023-09-04-21.241136 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,64 ,64 
2023-09-04-21.296905 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,65 ,65 
2023-09-04-21.353084 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,66 ,66 
2023-09-04-21.409852 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,67 ,67 
2023-09-04-21.464299 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,68 ,68 
2023-09-04-21.523851 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,69 ,69 
2023-09-04-21.582616 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,70 ,70 
2023-09-04-21.639822 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,71 ,71 
2023-09-04-21.696034 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,72 ,72 
2023-09-04-21.751445 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,73 ,73 
2023-09-04-21.808271 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,74 ,74 
2023-09-04-21.864188 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,75 ,75 
2023-09-04-21.920185 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,76 ,76 
2023-09-04-21.977076 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,77 ,77 
2023-09-04-22.035836 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,78 ,78 
2023-09-04-22.091805 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,79 ,79 
2023-09-04-22.148694 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,80 ,80 
2023-09-04-22.206749 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,81 ,81 
2023-09-04-22.264021 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,82 ,82 
2023-09-04-22.321085 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,83 ,83 
2023-09-04-22.377139 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,84 ,84 
2023-09-04-22.434835 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,85 ,85 
2023-09-04-22.490008 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,86 ,86 
2023-09-04-22.546293 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,87 ,87 
2023-09-04-22.603011 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,88 ,88 
2023-09-04-22.660475 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,89 ,89 
2023-09-04-22.716439 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,90 ,90 
2023-09-04-22.774068 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,91 ,91 
2023-09-04-22.830764 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,92 ,92 
2023-09-04-22.886965 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,93 ,93 
2023-09-04-22.943826 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,94 ,94 
2023-09-04-23.002387 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,95 ,95 
2023-09-04-23.063689 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,96 ,96 
2023-09-04-23.122791 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,97 ,97 
2023-09-04-23.183857 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,98 ,98 
2023-09-04-23.244968 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,99 ,99 
2023-09-04-23.303883 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,100 ,100 
2023-09-04-23.365092 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,101 ,101 
2023-09-04-23.425968 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,102 ,102 
2023-09-04-23.489771 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,103 ,103 
2023-09-04-23.552508 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,104 ,104 
2023-09-04-23.616217 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,105 ,105 
2023-09-04-23.678975 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,106 ,106 
2023-09-04-23.739368 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,107 ,107 
2023-09-04-23.801192 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,108 ,108 
2023-09-04-23.861272 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,109 ,109 
2023-09-04-23.920820 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,110 ,110 
2023-09-04-23.980775 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,111 ,111 
2023-09-04-24.040423 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,112 ,112 
2023-09-04-24.102071 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,113 ,113 
2023-09-04-24.162857 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,114 ,114 
2023-09-04-24.226253 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,115 ,115 
2023-09-04-24.286442 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,116 ,116 
2023-09-04-24.347155 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,117 ,117 
2023-09-04-24.407081 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,118 ,118 
2023-09-04-24.468195 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,119 ,119 
2023-09-04-24.526926 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,120 ,120 
2023-09-04-24.585672 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,121 ,121 
2023-09-04-24.645921 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,122 ,122 
2023-09-04-24.708066 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,123 ,123 
2023-09-04-24.766887 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,124 ,124 
2023-09-04-24.827798 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,125 ,125 
2023-09-04-24.886586 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,126 ,126 
2023-09-04-24.948664 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,127 ,127 
2023-09-04-25.011498 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,128 ,128 
2023-09-04-25.070526 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,129 ,129 
2023-09-04-25.134215 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,130 ,130 
2023-09-04-25.194818 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,131 ,131 
2023-09-04-25.256451 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,132 ,132 
2023-09-04-25.318152 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,133 ,133 
2023-09-04-25.378649 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,134 ,134 
2023-09-04-25.441039 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,135 ,135 
2023-09-04-25.501188 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,136 ,136 
2023-09-04-25.561243 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,137 ,137 
2023-09-04-25.622675 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,138 ,138 
2023-09-04-25.683639 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,139 ,139 
2023-09-04-25.746113 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,140 ,140 
2023-09-04-25.808650 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,141 ,141 
2023-09-04-25.870751 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,142 ,142 
2023-09-04-25.933005 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,143 ,143 
2023-09-04-25.994206 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,144 ,144 
2023-09-04-26.057922 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,145 ,145 
2023-09-04-26.121385 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,146 ,146 
2023-09-04-26.182689 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,147 ,147 
2023-09-04-26.245996 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,148 ,148 
2023-09-04-26.312768 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,149 ,149 
2023-09-04-26.377957 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,150 ,150 
2023-09-04-26.449674 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,151 ,151 
2023-09-04-26.515709 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,152 ,152 
2023-09-04-26.582186 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,153 ,153 
2023-09-04-26.648341 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,154 ,154 
2023-09-04-26.712503 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,155 ,155 
2023-09-04-26.775614 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,156 ,156 
2023-09-04-26.843866 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,157 ,157 
2023-09-04-26.906851 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,158 ,158 
2023-09-04-26.969871 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,159 ,159 
2023-09-04-27.036365 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,160 ,160 
2023-09-04-27.100148 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,161 ,161 
2023-09-04-27.162628 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,162 ,162 
2023-09-04-27.224689 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,163 ,163 
2023-09-04-27.286885 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,164 ,164 
2023-09-04-27.351599 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,165 ,165 
2023-09-04-27.413978 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,166 ,166 
2023-09-04-27.477155 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,167 ,167 
2023-09-04-27.542036 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,168 ,168 
2023-09-04-27.610142 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,169 ,169 
2023-09-04-27.674090 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,170 ,170 
2023-09-04-27.738628 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,171 ,171 
2023-09-04-27.804626 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,172 ,172 
2023-09-04-27.869819 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,173 ,173 
2023-09-04-27.934822 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,174 ,174 
2023-09-04-27.998701 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,175 ,175 
2023-09-04-28.062468 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,176 ,176 
2023-09-04-28.127751 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,177 ,177 
2023-09-04-28.194845 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,178 ,178 
2023-09-04-28.258171 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,179 ,179 
2023-09-04-28.326871 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,180 ,180 
2023-09-04-28.398862 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,181 ,181 
2023-09-04-28.464123 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,182 ,182 
2023-09-04-28.529875 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,183 ,183 
2023-09-04-28.595820 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,184 ,184 
2023-09-04-28.661025 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,185 ,185 
2023-09-04-28.732925 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,186 ,186 
2023-09-04-28.803361 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,187 ,187 
2023-09-04-28.872946 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,188 ,188 
2023-09-04-28.946838 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,189 ,189 
2023-09-04-29.020944 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,190 ,190 
2023-09-04-29.087994 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,191 ,191 
2023-09-04-29.153835 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,192 ,192 
2023-09-04-29.215898 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,193 ,193 
2023-09-04-29.279380 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,194 ,194 
2023-09-04-29.342122 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,195 ,195 
2023-09-04-29.404944 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,196 ,196 
2023-09-04-29.468490 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,197 ,197 
2023-09-04-29.533413 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,198 ,198 
2023-09-04-29.596978 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,199 ,199 
2023-09-04-29.665406 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,200 ,200 
2023-09-04-29.730848 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,201 ,201 
2023-09-04-29.796001 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,202 ,202 
2023-09-04-29.860334 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,203 ,203 
2023-09-04-29.925450 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,204 ,204 
2023-09-04-29.986605 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,205 ,205 
2023-09-04-30.052067 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,206 ,206 
2023-09-04-30.115406 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,207 ,207 
2023-09-04-30.180909 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,208 ,208 
2023-09-04-30.244402 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,209 ,209 
2023-09-04-30.309170 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,210 ,210 
2023-09-04-30.373956 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,211 ,211 
2023-09-04-30.436414 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,212 ,212 
2023-09-04-30.498759 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,213 ,213 
2023-09-04-30.564862 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,214 ,214 
2023-09-04-30.628155 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,215 ,215 
2023-09-04-30.691820 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,216 ,216 
2023-09-04-30.755571 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,217 ,217 
2023-09-04-30.818132 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,218 ,218 
2023-09-04-30.881284 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,219 ,219 
2023-09-04-30.943977 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,220 ,220 
2023-09-04-31.015196 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,221 ,221 
2023-09-04-31.081455 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,222 ,222 
2023-09-04-31.148383 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,223 ,223 
2023-09-04-31.217137 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,224 ,224 
2023-09-04-31.284867 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,225 ,225 
2023-09-04-31.350319 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,226 ,226 
2023-09-04-31.416050 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,227 ,227 
2023-09-04-31.484144 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,228 ,228 
2023-09-04-31.551316 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,229 ,229 
2023-09-04-31.617093 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,230 ,230 
2023-09-04-31.688136 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,231 ,231 
2023-09-04-31.754805 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,232 ,232 
2023-09-04-31.823848 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,233 ,233 
2023-09-04-31.892536 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,234 ,234 
2023-09-04-31.962787 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,235 ,235 
2023-09-04-32.031338 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,236 ,236 
2023-09-04-32.101076 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,237 ,237 
2023-09-04-32.166878 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,238 ,238 
2023-09-04-32.235966 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,239 ,239 
2023-09-04-32.302661 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,240 ,240 
2023-09-04-32.368383 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,241 ,241 
2023-09-04-32.435128 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,242 ,242 
2023-09-04-32.502152 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,243 ,243 
2023-09-04-32.572680 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,244 ,244 
2023-09-04-32.640734 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,245 ,245 
2023-09-04-32.707739 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,246 ,246 
2023-09-04-32.775836 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,247 ,247 
2023-09-04-32.843944 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,248 ,248 
2023-09-04-32.911990 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,249 ,249 
2023-09-04-32.978771 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,250 ,250 
2023-09-04-33.046544 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,251 ,251 
2023-09-04-33.119757 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,252 ,252 
2023-09-04-33.191046 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,253 ,253 
2023-09-04-33.257926 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,254 ,254 
2023-09-04-33.325795 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,255 ,255 
2023-09-04-33.392040 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,256 ,256 
2023-09-04-33.460096 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,257 ,257 
2023-09-04-33.528933 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,258 ,258 
2023-09-04-33.595980 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,259 ,259 
2023-09-04-33.663833 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,260 ,260 
2023-09-04-33.734045 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,261 ,261 
2023-09-04-33.801407 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,262 ,262 
2023-09-04-33.868986 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,263 ,263 
2023-09-04-33.936228 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,264 ,264 
2023-09-04-34.006469 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,265 ,265 
2023-09-04-34.083025 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,266 ,266 
2023-09-04-34.162778 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,267 ,267 
2023-09-04-34.229749 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,268 ,268 
2023-09-04-34.296806 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,269 ,269 
2023-09-04-34.362328 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,270 ,270 
2023-09-04-34.427111 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,271 ,271 
2023-09-04-34.492010 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,272 ,272 
2023-09-04-34.556332 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,273 ,273 
2023-09-04-34.622995 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,274 ,274 
2023-09-04-34.690232 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,275 ,275 
2023-09-04-34.754945 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,276 ,276 
2023-09-04-34.818931 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,277 ,277 
2023-09-04-34.886175 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,278 ,278 
2023-09-04-34.951865 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,279 ,279 
2023-09-04-35.017176 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,280 ,280 
2023-09-04-35.082597 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,281 ,281 
2023-09-04-35.150926 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,282 ,282 
2023-09-04-35.217737 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,283 ,283 
2023-09-04-35.283055 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,284 ,284 
2023-09-04-35.350936 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,285 ,285 
2023-09-04-35.420374 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,286 ,286 
2023-09-04-35.492913 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,287 ,287 
2023-09-04-35.558472 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,288 ,288 
2023-09-04-35.625090 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,289 ,289 
2023-09-04-35.689858 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,290 ,290 
